ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
1,3600,1751429814363.811,893059836598.8,458.3992984382859,3163.0037909765833,506.0589758607629,54.61045478232712,75.62971371619805,615.9386055624976,78.48344949525067,75.16377443274125,3513.2628881659607,11240294.191584727,87196.39481403914,2.6564086129980837,2.5980071534061224,2.1508910997591566,1
1,7200,842532232781.7926,1875626256767.2998,995.5607081816694,1901.3361591175121,561.3319947433306,72.62677241586374,77.91344438339625,653.6441073633168,68.88829256968536,92.5090124599792,6907.8217786246,27703866.262774847,58082.33298374069,2.314820093439305,3.121718960602061,2.9426668398315,2
1,10800,72490570320.76549,2409018961480.1675,6308.536678971141,1554.8114238036976,343.4908477577919,39.430580241626394,202.05614384887508,384.9050320275007,32.358977968564254,190.52217578236747,10543.941937924492,45079092.30928492,67767.16061561006,2.177088932792366,2.7111577722653277,2.4087083192002203,3
1,14400,60.53848183751172,2095302260157.4065,23562.085775597287,5.020875978632561e-6,1.2696214036507554e-6,1.2806093241022397e-7,517.7945814238033,1.130726851970516e-6,1.3284981166981105e-7,661.3771413285083,9809.223077556879,35205932.28508764,55648.40660292377,2.298883272069252,2.3167336881140086,2.5207851434898716,4
1,18000,5.513058615116449e-8,2687604508357.1396,30562.423496143903,4.954878983130545e-15,1.0765284884367166e-15,1.0885166489916498e-16,772.5492587356341,9.177576212468672e-16,1.2289132571827054e-16,642.2272828759777,8940.688405976982,32094960.031676777,68090.74549855496,1.983174556379362,1.5570002480549765,1.7228322472583728,5
1,21600,-3.4524949434545864e-12,2319186713080.5444,22897.93551953968,-2.5366958880288105e-19,-5.3824649409505723e-20,-7.735609752102112e-21,576.7620119639705,-5.3649212186773663e-20,-5.641764414617785e-21,785.3980939211224,7069.506906831957,26530487.505620975,46770.00412280444,1.5448422625980105,1.2181391620538677,1.9930590985338708,6
1,25200,5.05880037927717e-13,2588393785513.086,22162.04938757894,4.20900134302764e-20,7.157372285287259e-21,6.33175884088254e-22,794.5687696544451,8.447574148485373e-21,9.643700946246485e-22,757.7543677832651,9035.9713212155,36704121.207112096,61553.500284675836,1.4575800470498166,1.8423769790405797,2.000148446883162,7
1,28800,-2.948504728650159e-13,3262281655489.736,22765.392456546626,-1.9340008231244417e-20,-5.8729462746672404e-21,-7.458821804913093e-22,445.8325710164233,-4.9617866001516376e-21,-5.808114494219281e-22,594.8888371144873,8028.621109333638,31053089.190252375,40945.20961407559,1.2392229041964868,1.6325793466082634,1.1600686444215293,8
2,3600,1937770679345.243,853677888994.0885,335.456617103494,2243.700134881191,372.8348209182257,52.77210117947396,49.03729663885411,507.82687910687713,70.6725838601539,60.72052133195882,3379.446575069502,14317415.845629686,81037.57810208658,2.6906518325087077,3.096208869222798,3.084277772982457,1
2,7200,1014135628920.2258,1812834865341.3293,742.5573413830832,1778.1304883266635,471.04578556502133,54.79214992807095,50.931755395247116,549.6122609089026,66.41583773233198,63.404630375727706,6421.81415075522,17686307.293324646,97321.62307725505,2.89078208433633,2.5417191281886744,3.859244958272998,2
2,10800,210675546974.26465,2150386895436.0325,2831.072835207424,2005.5436565744376,424.4287680284068,41.863800058146445,88.89426457271742,583.1412169725369,43.96816780843903,161.70934424717748,8840.337626272389,33556528.83710289,52006.78686659913,2.6805209834824835,2.030842193348846,3.6719370053329787,3
2,14400,130338.52234749019,2435425178190.2676,20049.15072139231,0.005473530788869751,8.820058390310585e-4,9.763289304400699e-5,503.64910854259847,0.0013552655527905941,1.1685855999364507e-4,683.8652734517623,9729.681423645074,24585914.251383185,67664.65874275018,2.236001976323372,2.26974593999695,1.847961150023754,4
2,18000,6.057011529714453e-4,2078542900767.503,18536.65141181163,5.274814066905933e-11,8.053249976460375e-12,1.129983101493313e-12,604.6035137527458,8.780184176715488e-12,8.060454886618322e-13,512.2395400587318,9583.256089301758,29572813.506360874,77357.99795715736,2.224520455996024,2.122916433432678,1.6552165812083115,5
